GradYear,Student Ref,Admission Year,Program,Semester/Year,Academic Year,Student Status,Gender,Nationality,Application Category,GPA,CGPA
2019,1664116082711479348,2015-2016,B.Sc - Business Administration,Semester 2,2015-2016,Graduated,Male,Country0, ,2.22,2.06
2019,1664116082711479348,2015-2016,B.Sc - Business Administration,Semester 3,2015-2016,Graduated,Male,Country0, ,2.75,2.19
2019,5373973712473368309,2015-2016,B.Sc - Mechanical Engineering,Semester 1,2015-2016,Graduated,Female,Country4, ,3.00,3.00
2019,5373973712473368309,2015-2016,B.Sc - Mechanical Engineering,Semester 2,2015-2016,Graduated,Female,Country4, ,3.22,3.12
2019,5373973712473368309,2015-2016,B.Sc - Mechanical Engineering,Semester 3,2015-2016,Graduated,Female,Country4, ,4.00,3.25
2017,7203477986558110010,2013-2014,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0, ,3.63,3.03
2017,7203477986558110010,2013-2014,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country0, ,3.25,3.07
2016,3745749690446432161,2012-2013,B.Sc - Computer Science,Semester 1,2015-2016,Active,Male,Country0, ,2.75,2.65
2016,3745749690446432161,2012-2013,B.Sc - Computer Science,Semester 2,2015-2016,Active,Male,Country0, ,2.13,2.58
2017,1024922754774182776,2013-2014,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0, ,3.00,2.99
2017,1024922754774182776,2013-2014,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country0, ,3.13,3.01
2017,1024922754774182776,2013-2014,B.Sc - Business Administration,Semester 3,2015-2016,Active,Male,Country0, ,3.00,3.01
2019,8159034975062842478,2015-2016,B.Sc - Management Information Systems,Semester 1,2015-2016,Graduated,Female,Country0, ,3.13,3.13
2019,8159034975062842478,2015-2016,B.Sc - Management Information Systems,Semester 2,2015-2016,Graduated,Female,Country0, ,2.44,2.76
2018,6920168561929016289,2014-2015,B.Sc - Computer Science,Semester 1,2015-2016,Graduated,Male,Country0, ,3.94,3.79
2018,6920168561929016289,2014-2015,B.Sc - Computer Science,Semester 2,2015-2016,Graduated,Male,Country0, ,3.94,3.83
2016,4258449684041796982,2012-2013,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0, ,3.50,2.91
2016,4258449684041796982,2012-2013,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country0, ,2.63,2.88
2018,3753089552895014050,2014-2015,B.Sc - Computer Science,Semester 1,2015-2016,Graduated,Male,Country5, ,2.67,3.08
2018,3753089552895014050,2014-2015,B.Sc - Computer Science,Semester 2,2015-2016,Graduated,Male,Country5, ,1.94,2.79
2019,5964534186171959476,2015-2016,B.Sc - Management Information Systems,Semester 1,2015-2016,Graduated,Female,Country0, ,3.63,3.63
2019,5964534186171959476,2015-2016,B.Sc - Management Information Systems,Semester 2,2015-2016,Graduated,Female,Country0, ,3.17,3.38
2019,5964534186171959476,2015-2016,B.Sc - Management Information Systems,Semester 3,2015-2016,Graduated,Female,Country0, ,4.00,3.45
2019,7078503955328196200,2015-2016,B.Sc - Management Information Systems,Semester 1,2015-2016,Graduated,Female,Country0, ,3.63,3.63
